127.0.0.1 - - [27/Apr/2026 05:22:26] "GET /sso.html?domain=carleyinteractivestudio.github.io&redirect_to=https://carleyinteractivestudio.github.io/VidSpri/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:22:27] "GET /estilos.css HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:22:27] "GET /carley_foto_web/Logo_C.png HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:22:27] "GET /js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:22:27] "GET /js/sso.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:22:28] "GET /carley_foto_web/Logo%20VidSpri.png HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:30:31] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:30:31] "GET /estilos.css HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:30:31] "GET /carley_foto_web/Creative_Games_Logo.png HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:30:31] "GET /carley_foto_web/Logo_C.png HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:30:31] "GET /carley_foto_web/VidSpri_Logo_New.png HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:30:31] "GET /carley_foto_web/fds.png HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:30:31] "GET /carley_foto_web/Logo_3D_App_Craft.png HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:30:31] "GET /js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:30:32] "GET /carley_foto_web/Escena%20de%20videojuego.png HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:32:54] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:32:54] "GET /estilos.css HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:32:54] "GET /carley_foto_web/Logo_C.png HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:32:54] "GET /carley_foto_web/Creative_Games_Logo.png HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:32:54] "GET /carley_foto_web/VidSpri_Logo_New.png HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:32:54] "GET /carley_foto_web/fds.png HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:32:54] "GET /carley_foto_web/Logo_3D_App_Craft.png HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:32:54] "GET /js/main.js HTTP/1.1" 200 -
127.0.0.1 - - [27/Apr/2026 05:32:54] "GET /carley_foto_web/Escena%20de%20videojuego.png HTTP/1.1" 200 -
